Sample in Buffer	Sample in Window	trig0/data0	trig1/data1
0	0	-262	-181	
1	1	-260	-183	
2	2	-261	-180	
3	3	-262	-180	
4	4	-259	-180	
5	5	-258	-184	
6	6	-259	-184	
7	7	-258	-184	
8	8	-258	-188	
9	9	-257	-186	
10	10	-258	-188	
11	11	-258	-189	
12	12	-256	-188	
13	13	-258	-190	
14	14	-257	-188	
15	15	-256	-191	
16	16	-256	-190	
17	17	-256	-190	
18	18	-255	-191	
19	19	-254	-190	
20	20	-256	-191	
21	21	-254	-192	
22	22	-255	-192	
23	23	-254	-192	
24	24	-255	-192	
25	25	-252	-192	
26	26	-254	-190	
27	27	-255	-192	
28	28	-254	-192	
29	29	-251	-191	
30	30	-255	-189	
31	31	-254	-192	
32	32	-258	-194	
33	33	-254	-191	
34	34	-254	-192	
35	35	-254	-189	
36	36	-256	-192	
37	37	-254	-189	
38	38	-255	-190	
39	39	-256	-189	
40	40	-255	-189	
41	41	-256	-188	
42	42	-257	-186	
43	43	-258	-185	
44	44	-257	-188	
45	45	-255	-184	
46	46	-256	-186	
47	47	-258	-186	
48	48	-258	-184	
49	49	-259	-183	
50	50	-258	-185	
51	51	-259	-184	
52	52	-257	-184	
53	53	-258	-183	
54	54	-256	-184	
55	55	-258	-184	
56	56	-258	-183	
57	57	-259	-184	
58	58	-257	-183	
59	59	-259	-184	
60	60	-259	-184	
61	61	-256	-186	
62	62	-260	-185	
63	63	-258	-185	
64	64	-255	-184	
65	65	-259	-186	
66	66	-258	-186	
67	67	-256	-185	
68	68	-256	-186	
69	69	-256	-190	
70	70	-255	-186	
71	71	-258	-188	
72	72	-254	-186	
73	73	-256	-189	
74	74	-256	-188	
75	75	-256	-185	
76	76	-258	-189	
77	77	-254	-190	
78	78	-255	-190	
79	79	-254	-191	
80	80	-254	-191	
81	81	-252	-190	
82	82	-254	-191	
83	83	-252	-191	
84	84	-251	-192	
85	85	-251	-192	
86	86	-253	-191	
87	87	-255	-191	
88	88	-254	-190	
89	89	-255	-191	
90	90	-251	-190	
91	91	-256	-189	
92	92	-252	-192	
93	93	-256	-191	
94	94	-253	-190	
95	95	-254	-192	
96	96	-257	-189	
97	97	-255	-192	
98	98	-254	-186	
99	99	-256	-188	
100	100	-255	-188	
101	101	-256	-186	
102	102	-257	-188	
103	103	-258	-186	
104	104	-258	-185	
105	105	-258	-186	
106	106	-256	-186	
107	107	-256	-185	
108	108	-256	-184	
109	109	-261	-183	
110	110	-258	-183	
111	111	-259	-182	
