Sample in Buffer	Sample in Window	tx_i	tx_q
0	0	95	56	
1	1	100	51	
2	2	95	53	
3	3	99	50	
4	4	97	53	
5	5	96	52	
6	6	99	54	
7	7	99	50	
8	8	98	52	
9	9	97	52	
10	10	97	51	
11	11	97	52	
12	12	97	52	
13	13	97	52	
14	14	97	52	
15	15	98	52	
16	16	96	52	
17	17	100	52	
18	18	98	54	
19	19	98	50	
20	20	96	54	
21	21	95	52	
22	22	98	52	
23	23	97	50	
24	24	95	53	
25	25	97	53	
26	26	94	54	
27	27	96	50	
28	28	97	54	
29	29	97	52	
30	30	96	52	
31	31	94	50	
32	32	97	52	
33	33	97	50	
34	34	98	53	
35	35	98	54	
36	36	96	52	
37	37	95	52	
38	38	95	54	
39	39	97	53	
40	40	95	52	
41	41	98	53	
42	42	97	54	
43	43	94	53	
44	44	97	52	
45	45	97	52	
46	46	97	52	
47	47	98	54	
48	48	96	49	
49	49	99	52	
50	50	95	53	
51	51	99	49	
52	52	95	53	
53	53	98	54	
54	54	95	54	
55	55	96	50	
56	56	97	54	
57	57	95	53	
58	58	96	54	
59	59	97	52	
60	60	96	54	
61	61	95	51	
62	62	98	54	
63	63	97	51	
64	64	99	54	
65	65	95	53	
66	66	97	54	
67	67	93	51	
68	68	99	52	
69	69	97	53	
70	70	96	51	
71	71	97	55	
72	72	95	53	
73	73	96	54	
74	74	97	52	
75	75	99	52	
76	76	97	54	
77	77	97	53	
78	78	97	50	
79	79	97	54	
80	80	99	54	
81	81	98	53	
82	82	98	50	
83	83	95	54	
84	84	97	52	
85	85	100	54	
86	86	95	52	
87	87	97	52	
88	88	98	54	
89	89	96	50	
90	90	97	54	
91	91	97	51	
92	92	99	50	
93	93	97	52	
94	94	100	50	
95	95	98	49	
96	96	97	54	
97	97	100	50	
98	98	98	53	
99	99	98	48	
100	100	97	50	
101	101	99	51	
102	102	99	51	
103	103	100	49	
104	104	95	50	
105	105	97	52	
106	106	98	48	
107	107	100	48	
108	108	97	48	
109	109	99	54	
110	110	96	48	
111	111	99	49	
112	112	96	48	
113	113	99	54	
114	114	96	50	
115	115	96	52	
116	116	97	51	
117	117	98	51	
118	118	97	51	
119	119	97	50	
120	120	99	53	
121	121	95	51	
122	122	98	52	
123	123	99	54	
124	124	97	54	
125	125	95	50	
126	126	97	50	
127	127	99	49	
128	128	98	52	
129	129	97	53	
130	130	97	54	
131	131	97	50	
132	132	97	51	
133	133	97	51	
134	134	98	52	
135	135	98	53	
136	136	98	50	
137	137	98	54	
138	138	97	51	
139	139	97	51	
140	140	97	51	
141	141	98	52	
142	142	98	50	
143	143	99	51	
144	144	98	52	
145	145	97	51	
146	146	98	48	
147	147	99	50	
148	148	97	49	
149	149	98	52	
150	150	97	50	
151	151	98	50	
152	152	97	51	
153	153	98	49	
154	154	99	50	
155	155	99	48	
156	156	95	52	
157	157	99	50	
158	158	97	49	
159	159	98	49	
160	160	98	50	
161	161	97	50	
162	162	98	53	
163	163	95	48	
164	164	99	50	
165	165	97	50	
166	166	101	51	
167	167	100	52	
168	168	97	50	
169	169	98	50	
170	170	97	49	
171	171	98	52	
172	172	99	48	
173	173	98	50	
174	174	99	46	
175	175	97	50	
176	176	100	49	
177	177	97	51	
178	178	100	49	
179	179	98	51	
180	180	99	49	
181	181	98	50	
182	182	97	49	
183	183	98	50	
184	184	101	48	
185	185	95	48	
186	186	100	48	
187	187	97	50	
188	188	100	53	
189	189	99	50	
190	190	98	52	
191	191	98	49	
192	192	100	51	
193	193	97	52	
194	194	97	48	
195	195	99	52	
196	196	98	50	
197	197	100	48	
198	198	100	49	
199	199	99	51	
200	200	98	49	
201	201	99	52	
202	202	98	48	
203	203	98	49	
204	204	100	51	
205	205	98	49	
206	206	100	50	
207	207	97	53	
208	208	98	48	
209	209	98	48	
210	210	100	51	
211	211	98	48	
212	212	102	51	
213	213	97	51	
214	214	97	49	
215	215	97	49	
216	216	97	50	
217	217	95	49	
218	218	98	51	
219	219	98	49	
220	220	97	50	
221	221	97	53	
222	222	99	49	
223	223	97	53	
224	224	98	51	
225	225	98	52	
226	226	99	49	
227	227	96	47	
228	228	97	51	
229	229	97	52	
230	230	95	50	
231	231	99	51	
232	232	98	49	
233	233	97	52	
234	234	97	53	
235	235	97	54	
236	236	97	51	
237	237	98	50	
238	238	98	51	
239	239	97	49	
240	240	97	53	
241	241	99	51	
242	242	95	51	
243	243	99	48	
244	244	97	53	
245	245	98	50	
246	246	95	52	
247	247	96	50	
248	248	96	51	
249	249	98	49	
250	250	95	53	
251	251	99	48	
252	252	98	50	
253	253	98	49	
254	254	99	53	
255	255	97	51	
256	256	98	50	
257	257	97	50	
258	258	95	50	
259	259	97	51	
260	260	97	54	
261	261	97	50	
262	262	97	52	
263	263	97	52	
264	264	97	51	
265	265	95	52	
266	266	97	52	
267	267	99	50	
268	268	97	51	
269	269	97	52	
270	270	99	52	
271	271	97	53	
272	272	97	51	
273	273	97	52	
274	274	97	50	
275	275	97	53	
276	276	97	51	
277	277	96	52	
278	278	98	50	
279	279	97	53	
280	280	97	51	
281	281	99	51	
282	282	98	49	
283	283	98	50	
284	284	97	51	
285	285	96	52	
286	286	97	49	
287	287	97	52	
288	288	95	54	
289	289	98	49	
290	290	95	52	
291	291	99	49	
292	292	96	51	
293	293	97	50	
294	294	98	52	
295	295	95	53	
296	296	98	52	
297	297	96	51	
298	298	98	50	
299	299	99	50	
300	300	97	50	
301	301	99	54	
302	302	97	50	
303	303	99	52	
304	304	99	51	
305	305	97	52	
306	306	98	50	
307	307	98	52	
308	308	98	52	
309	309	98	50	
310	310	94	49	
311	311	99	49	
312	312	99	52	
313	313	98	52	
314	314	95	53	
315	315	98	48	
316	316	98	52	
317	317	97	48	
318	318	98	50	
319	319	97	53	
320	320	100	50	
321	321	98	52	
322	322	98	49	
323	323	98	49	
324	324	97	50	
325	325	99	51	
326	326	99	50	
327	327	98	47	
328	328	97	52	
329	329	97	48	
330	330	97	49	
331	331	97	50	
332	332	97	50	
333	333	99	51	
334	334	97	52	
335	335	97	51	
336	336	97	51	
337	337	98	52	
338	338	97	49	
339	339	98	51	
340	340	98	50	
341	341	99	48	
342	342	97	50	
343	343	97	49	
344	344	99	53	
345	345	97	50	
346	346	98	50	
347	347	96	50	
348	348	98	50	
349	349	95	50	
350	350	100	52	
351	351	94	49	
352	352	97	50	
353	353	97	48	
354	354	98	51	
355	355	98	49	
356	356	97	52	
357	357	98	51	
358	358	96	51	
359	359	99	51	
360	360	97	48	
361	361	98	52	
362	362	97	53	
363	363	99	52	
364	364	98	52	
365	365	99	54	
366	366	95	51	
367	367	98	54	
368	368	97	52	
369	369	98	50	
370	370	95	50	
371	371	98	52	
372	372	95	53	
373	373	97	53	
374	374	96	52	
375	375	97	54	
376	376	95	54	
377	377	96	50	
378	378	96	50	
379	379	97	53	
380	380	98	51	
381	381	97	54	
382	382	94	55	
383	383	99	52	
384	384	97	52	
385	385	98	50	
386	386	97	51	
387	387	97	52	
388	388	97	49	
389	389	95	53	
390	390	96	50	
391	391	99	52	
392	392	95	51	
393	393	96	55	
394	394	97	49	
395	395	97	50	
396	396	97	50	
397	397	95	51	
398	398	97	51	
399	399	95	49	
400	400	98	48	
401	401	97	53	
402	402	97	49	
403	403	97	51	
404	404	97	50	
405	405	95	48	
406	406	97	50	
407	407	97	52	
408	408	97	51	
409	409	95	50	
410	410	98	52	
411	411	96	50	
412	412	93	52	
413	413	97	51	
414	414	100	53	
415	415	95	50	
416	416	97	49	
417	417	96	52	
418	418	98	49	
419	419	97	53	
420	420	97	48	
421	421	97	52	
422	422	97	49	
423	423	98	51	
424	424	98	50	
425	425	98	51	
426	426	97	52	
427	427	97	48	
428	428	96	52	
429	429	97	48	
430	430	99	51	
431	431	99	52	
432	432	97	50	
433	433	99	52	
434	434	95	51	
435	435	98	51	
436	436	95	52	
437	437	97	50	
438	438	97	51	
439	439	97	53	
440	440	95	52	
441	441	97	50	
442	442	97	50	
443	443	98	49	
444	444	96	53	
445	445	98	50	
446	446	97	51	
447	447	97	49	
448	448	95	49	
449	449	98	51	
450	450	97	50	
451	451	97	49	
452	452	97	53	
453	453	97	48	
454	454	98	50	
455	455	97	51	
456	456	99	52	
457	457	97	50	
