Sample in Buffer	Sample in Window	trig0/data0	trig1/data1
0	0	87	50	
1	1	84	52	
2	2	87	52	
3	3	88	51	
4	4	85	53	
5	5	87	54	
6	6	85	52	
7	7	87	52	
8	8	86	54	
9	9	87	53	
10	10	87	52	
11	11	85	52	
12	12	85	52	
13	13	88	52	
14	14	85	52	
15	15	87	54	
16	16	84	52	
17	17	87	54	
18	18	83	54	
19	19	87	53	
20	20	85	55	
21	21	85	52	
22	22	84	50	
23	23	84	54	
24	24	86	52	
25	25	84	53	
26	26	87	52	
27	27	85	54	
28	28	85	51	
29	29	86	54	
30	30	84	52	
31	31	82	52	
32	32	85	54	
33	33	85	54	
34	34	86	54	
35	35	86	54	
36	36	84	51	
37	37	85	54	
38	38	84	54	
39	39	85	54	
40	40	85	55	
41	41	85	55	
42	42	84	54	
43	43	86	54	
44	44	83	56	
45	45	84	52	
46	46	82	54	
47	47	84	55	
48	48	83	52	
49	49	84	55	
50	50	85	52	
51	51	85	53	
52	52	85	51	
53	53	87	55	
54	54	84	52	
55	55	84	52	
56	56	85	54	
57	57	84	54	
58	58	82	54	
59	59	84	54	
60	60	84	56	
61	61	85	52	
62	62	81	56	
63	63	87	54	
64	64	83	55	
65	65	84	51	
66	66	84	56	
67	67	85	52	
68	68	84	55	
69	69	84	53	
70	70	82	54	
71	71	84	56	
72	72	84	52	
73	73	84	53	
74	74	83	54	
75	75	82	55	
76	76	84	54	
77	77	83	54	
78	78	85	55	
79	79	84	53	
80	80	82	54	
81	81	82	54	
82	82	83	54	
83	83	83	54	
84	84	84	54	
85	85	83	54	
86	86	84	55	
87	87	84	53	
88	88	84	55	
89	89	85	53	
90	90	85	54	
91	91	84	54	
92	92	86	54	
93	93	85	54	
94	94	85	54	
95	95	85	54	
96	96	85	54	
97	97	85	55	
98	98	84	52	
99	99	84	55	
100	100	86	53	
101	101	86	54	
102	102	84	54	
103	103	85	55	
104	104	86	54	
105	105	86	55	
106	106	85	53	
107	107	86	54	
108	108	87	52	
109	109	85	55	
110	110	85	53	
111	111	84	54	
112	112	87	52	
113	113	85	54	
114	114	87	53	
115	115	85	54	
116	116	82	54	
117	117	87	57	
118	118	84	55	
119	119	85	55	
120	120	85	54	
121	121	85	54	
122	122	83	54	
123	123	85	52	
124	124	85	54	
125	125	85	55	
126	126	85	51	
127	127	84	54	
128	128	85	54	
129	129	85	55	
130	130	86	52	
131	131	84	54	
132	132	86	54	
133	133	85	54	
134	134	85	54	
135	135	84	52	
136	136	87	53	
137	137	84	54	
138	138	85	52	
139	139	85	53	
140	140	86	54	
141	141	85	53	
142	142	85	52	
143	143	85	52	
144	144	86	53	
145	145	85	54	
146	146	87	50	
147	147	87	54	
148	148	87	53	
149	149	85	52	
150	150	88	50	
151	151	85	51	
