Sample in Buffer	Sample in Window	trig0/data0[0]	trig0/data0[1]	trig0/data0[2]	trig0/data0[3]	trig0/data0[4]	trig0/data0[5]	trig0/data0[6]	trig0/data0[7]	trig0/data0[8]	trig0/data0[9]	trig0/data0[10]	trig0/data0[11]	trig1/data1[0]	trig2/data2[0]	trig2/data2[1]	trig2/data2[2]	trig2/data2[3]	trig2/data2[4]	trig2/data2[5]	trig2/data2[6]	trig2/data2[7]	trig2/data2[8]	trig2/data2[9]	trig2/data2[10]	trig2/data2[11]	trig3/data3[0]	trig3/data3[1]	trig3/data3[2]	trig3/data3[3]	trig3/data3[4]	trig3/data3[5]	trig3/data3[6]	trig3/data3[7]	trig3/data3[8]	trig3/data3[9]	trig3/data3[10]	trig3/data3[11]	rxd	rx_i	rx_q
0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	-3	-61	-40	
1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	-86	-61	-40	
2	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	18	-77	-27	
3	3	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	-93	-77	-27	
4	4	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	45	-86	-3	
5	5	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	-85	-86	-3	
6	6	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	70	-93	18	
7	7	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	-77	-93	18	
8	8	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	89	-85	45	
9	9	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	-58	-85	45	
10	10	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	106	-77	70	
11	11	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	-34	-77	70	
12	12	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	113	-58	89	
13	13	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	-11	-58	89	
14	14	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	111	-34	106	
15	15	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	14	-34	106	
16	16	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	101	-11	113	
17	17	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	41	-11	113	
18	18	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	84	14	111	
19	19	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	58	14	111	
20	20	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	61	41	101	
21	21	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	70	41	101	
22	22	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	35	58	84	
23	23	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	73	58	84	
24	24	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	10	70	61	
25	25	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	69	70	61	
26	26	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	-11	73	35	
27	27	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	55	73	35	
28	28	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	-32	69	10	
