Sample in Buffer	Sample in Window	trig0/data0	trig1/data1	trig2/data2	trig3/data3
0	0	5	-10828	-11536	2336	
1	1	2	-11249	-13746	2376	
2	2	2	-14421	-13039	2336	
3	3	4	-17361	-12622	2296	
4	4	2	-16111	-13317	2336	
5	5	4	-12093	-12369	2296	
6	6	3	-9598	-11291	2336	
7	7	1	-11633	-13393	2376	
8	8	9	-16652	-17156	2336	
9	9	2	-18032	-18179	2376	
10	10	3	-13950	-13499	2416	
11	11	1	-11513	-7353	2456	
12	12	2	-13185	-7587	2416	
13	13	3	-14444	-14712	2456	
14	14	-8	-14443	-18711	2416	
15	15	3	-18338	-15367	2376	
16	16	0	-23145	-13790	2416	
17	17	4	-21828	-18893	2376	
18	18	0	-17850	-22850	2416	
19	19	4	-19608	-21650	2376	
20	20	0	-22605	-22106	2416	
21	21	2	-17992	-27381	2456	
22	22	3	-10646	-28924	2416	
23	23	2	-10327	-22171	2376	
24	24	-1	-14526	-14993	2416	
25	25	4	-16359	-13441	2376	
26	26	2	-15213	-15159	2416	
27	27	2	-13818	-16505	2456	
28	28	2	-14841	-16975	2416	
29	29	2	-17588	-16838	2456	
30	30	4	-17392	-14778	2416	
31	31	-2	-12679	-12548	2456	
32	32	0	-10935	-13539	2496	
33	33	2	-16378	-17435	2456	
34	34	2	-20441	-20813	2416	
35	35	2	-18595	-20233	2456	
36	36	0	-16561	-15615	2496	
37	37	1	-16417	-10676	2456	
38	38	2	-13000	-10242	2416	
39	39	-3	-8473	-13925	2456	
40	40	4	-10822	-16155	2416	
41	41	2	-18143	-16676	2456	
42	42	1	-20783	-18466	2496	
43	43	2	-17117	-18648	2456	
44	44	-2	-13173	-14744	2496	
45	45	2	-11856	-11531	2456	
46	46	-3	-10371	-12836	2496	
47	47	-2	-9613	-14167	2536	
48	48	-2	-12749	-12697	2576	
49	49	-5	-17868	-14376	2616	
50	50	1	-20250	-19537	2576	
51	51	-2	-16983	-19916	2616	
52	52	2	-11495	-14525	2576	
53	53	2	-9214	-12827	2536	
54	54	2	-9960	-18023	2496	
55	55	1	-9122	-21647	2456	
56	56	2	-7127	-19700	2416	
57	57	2	-8977	-17689	2376	
58	58	2	-13520	-16989	2336	
59	59	1	-14918	-13593	2376	
60	60	2	-14588	-8546	2416	
61	61	1	-17178	-9016	2456	
62	62	0	-20468	-15091	2496	
63	63	4	-19945	-17964	2456	
64	64	2	-16564	-15402	2416	
65	65	1	-13831	-12564	2456	
66	66	-4	-11863	-11923	2496	
67	67	0	-11301	-12948	2536	
68	68	-2	-12243	-15441	2576	
69	69	0	-12257	-15922	2536	
70	70	2	-12957	-11749	2496	
71	71	2	-16151	-8818	2456	
72	72	1	-17674	-13322	2496	
73	73	0	-12910	-19386	2536	
74	74	0	-6995	-19590	2576	
75	75	1	-7711	-17444	2536	
76	76	0	-13689	-18064	2576	
77	77	0	-17423	-16819	2536	
78	78	1	-15608	-10236	2496	
79	79	2	-11762	-6146	2456	
80	80	6	-10619	-9922	2416	
81	81	-1	-12390	-15142	2456	
82	82	1	-14884	-15383	2496	
83	83	1	-16300	-13574	2456	
84	84	-4	-17147	-16271	2496	
85	85	-4	-18970	-20241	2456	
86	86	3	-20941	-17677	2416	
87	87	1	-19545	-10519	2456	
88	88	2	-15663	-8583	2416	
89	89	2	-15062	-14286	2376	
90	90	3	-16988	-20144	2336	
91	91	-2	-12647	-20378	2376	
92	92	2	-3785	-16830	2336	
93	93	0	-2728	-14447	2376	
94	94	-1	-10538	-13960	2416	
