Sample in Buffer	Sample in Window	trig0/data0	trig1/data1
0	0	0	25	
1	1	-1	29	
2	2	1	28	
3	3	-1	29	
4	4	3	24	
5	5	-1	29	
6	6	4	27	
7	7	1	27	
8	8	3	27	
9	9	1	27	
10	10	1	26	
11	11	4	29	
12	12	2	28	
13	13	1	24	
14	14	1	29	
15	15	2	28	
16	16	0	31	
17	17	-1	27	
18	18	1	28	
19	19	0	28	
20	20	4	27	
21	21	2	30	
22	22	3	29	
23	23	2	29	
24	24	1	27	
25	25	-1	29	
26	26	1	27	
27	27	2	31	
28	28	1	27	
29	29	3	29	
30	30	2	28	
31	31	1	29	
32	32	1	28	
33	33	4	30	
34	34	1	27	
35	35	-1	28	
36	36	4	27	
37	37	3	29	
38	38	-1	28	
39	39	2	31	
40	40	4	29	
41	41	4	29	
42	42	2	24	
43	43	3	27	
44	44	2	28	
45	45	2	26	
46	46	6	28	
47	47	2	29	
48	48	6	29	
49	49	1	29	
50	50	3	28	
51	51	-1	31	
52	52	6	29	
53	53	6	29	
54	54	3	28	
55	55	4	29	
56	56	4	30	
57	57	4	28	
58	58	3	30	
59	59	4	31	
60	60	5	29	
61	61	3	29	
62	62	4	32	
63	63	4	31	
64	64	5	32	
65	65	2	29	
66	66	3	29	
67	67	2	27	
68	68	5	28	
69	69	4	29	
70	70	4	28	
71	71	1	29	
72	72	2	32	
73	73	6	29	
74	74	4	28	
75	75	2	32	
76	76	2	29	
77	77	-1	28	
78	78	2	29	
79	79	4	29	
80	80	1	29	
81	81	3	29	
82	82	2	28	
83	83	2	29	
84	84	2	28	
85	85	1	27	
86	86	0	28	
87	87	2	29	
88	88	6	29	
89	89	2	27	
90	90	1	28	
91	91	2	29	
92	92	1	28	
93	93	1	29	
94	94	1	29	
95	95	1	27	
96	96	0	28	
97	97	1	28	
98	98	0	28	
99	99	-1	28	
100	100	1	29	
101	101	-1	29	
102	102	1	29	
103	103	1	29	
104	104	-1	29	
105	105	2	25	
106	106	-1	29	
107	107	1	28	
108	108	4	28	
109	109	-1	29	
110	110	-1	29	
111	111	-1	24	
112	112	1	29	
113	113	-1	28	
114	114	-1	24	
115	115	1	29	
116	116	-1	29	
117	117	-2	27	
118	118	2	29	
119	119	1	27	
120	120	2	24	
121	121	-1	27	
122	122	4	27	
123	123	-1	28	
124	124	3	28	
125	125	1	28	
126	126	1	28	
127	127	1	27	
128	128	2	28	
129	129	-1	28	
130	130	4	28	
131	131	-2	28	
132	132	2	32	
133	133	2	29	
134	134	4	29	
135	135	4	27	
136	136	5	29	
137	137	3	29	
138	138	7	30	
139	139	1	29	
140	140	5	32	
141	141	6	31	
142	142	2	31	
143	143	5	32	
144	144	5	32	
145	145	5	32	
146	146	3	29	
147	147	5	30	
148	148	6	32	
149	149	3	31	
150	150	3	31	
151	151	6	29	
152	152	6	29	
153	153	6	29	
154	154	6	28	
155	155	5	31	
156	156	6	29	
157	157	7	32	
158	158	5	29	
159	159	7	30	
160	160	6	29	
161	161	7	32	
162	162	4	29	
163	163	6	29	
164	164	3	29	
165	165	6	29	
166	166	6	29	
167	167	4	28	
168	168	4	29	
169	169	3	29	
170	170	3	29	
171	171	1	29	
