Sample in Buffer	Sample in Window	trig3/data3	trig4/data4	trig5/data5
0	0	-4788	3510	0	
1	1	-1989	6018	0	
2	2	-1989	6018	0	
3	3	-1989	6018	0	
4	4	-1989	6018	0	
5	5	-1989	6018	0	
6	6	-1989	6018	0	
7	7	-1989	6018	0	
8	8	-1989	6018	0	
9	9	-2947	3161	0	
10	10	-2947	3161	0	
11	11	-2947	3161	0	
12	12	-2947	3161	0	
13	13	-2947	3161	0	
14	14	-2947	3161	0	
15	15	-2947	3161	0	
16	16	-2947	3161	0	
17	17	-7098	5482	0	
18	18	-7098	5482	0	
19	19	-7098	5482	0	
20	20	-7098	5482	0	
21	21	-7098	5482	0	
22	22	-7098	5482	0	
23	23	-7098	5482	0	
24	24	-7098	5482	0	
25	25	-5678	1137	0	
26	26	-5678	1137	0	
27	27	-5678	1137	0	
28	28	-5678	1137	0	
29	29	-5678	1137	0	
30	30	-5678	1137	0	
31	31	-5678	1137	0	
32	32	-5678	1137	0	
33	33	-2894	767	0	
34	34	-2894	767	0	
35	35	-2894	767	0	
36	36	-2894	767	0	
37	37	-2894	767	0	
38	38	-2894	767	0	
39	39	-2894	767	0	
40	40	-2894	767	0	
41	41	-7481	4369	0	
42	42	-7481	4369	0	
43	43	-7481	4369	0	
44	44	-7481	4369	0	
45	45	-7481	4369	0	
46	46	-7481	4369	0	
47	47	-7481	4369	0	
48	48	-7481	4369	0	
49	49	-2946	2891	0	
50	50	-2946	2891	0	
51	51	-2946	2891	0	
52	52	-2946	2891	0	
53	53	-2946	2891	0	
54	54	-2946	2891	0	
55	55	-2946	2891	0	
56	56	-2946	2891	0	
57	57	-2432	4772	0	
58	58	-2432	4772	0	
59	59	-2432	4772	0	
60	60	-2432	4772	0	
61	61	-2432	4772	0	
62	62	-2432	4772	0	
63	63	-2432	4772	0	
64	64	-2432	4772	0	
65	65	-3219	2795	0	
66	66	-3219	2795	0	
67	67	-3219	2795	0	
68	68	-3219	2795	0	
69	69	-3219	2795	0	
70	70	-3219	2795	0	
71	71	-3219	2795	0	
72	72	-3219	2795	0	
73	73	-958	1399	0	
74	74	-958	1399	0	
75	75	-958	1399	0	
76	76	-958	1399	0	
77	77	-958	1399	0	
78	78	-958	1399	0	
79	79	-958	1399	0	
80	80	-958	1399	0	
81	81	-2303	2325	0	
82	82	-2303	2325	0	
83	83	-2303	2325	0	
84	84	-2303	2325	0	
85	85	-2303	2325	0	
86	86	-2303	2325	0	
87	87	-2303	2325	0	
88	88	-2303	2325	0	
89	89	-3412	4449	0	
90	90	-3412	4449	0	
91	91	-3412	4449	0	
92	92	-3412	4449	0	
93	93	-3412	4449	0	
94	94	-3412	4449	0	
95	95	-3412	4449	0	
96	96	-3412	4449	0	
97	97	-1473	513	0	
98	98	-1473	513	0	
99	99	-1473	513	0	
100	100	-1473	513	0	
101	101	-1473	513	0	
102	102	-1473	513	0	
103	103	-1473	513	0	
104	104	-1473	513	0	
105	105	-1236	4233	0	
106	106	-1236	4233	0	
107	107	-1236	4233	0	
108	108	-1236	4233	0	
109	109	-1236	4233	0	
110	110	-1236	4233	0	
111	111	-1236	4233	0	
112	112	-1236	4233	0	
113	113	-7846	5013	0	
114	114	-7846	5013	0	
115	115	-7846	5013	0	
116	116	-7846	5013	0	
117	117	-7846	5013	0	
118	118	-7846	5013	0	
119	119	-7846	5013	0	
120	120	-7846	5013	0	
121	121	-2350	509	0	
122	122	-2350	509	0	
123	123	-2350	509	0	
124	124	-2350	509	0	
125	125	-2350	509	0	
126	126	-2350	509	0	
127	127	-2350	509	0	
128	128	-2350	509	0	
129	129	-1444	2167	0	
130	130	-1444	2167	0	
131	131	-1444	2167	0	
132	132	-1444	2167	0	
133	133	-1444	2167	0	
134	134	-1444	2167	0	
135	135	-1444	2167	0	
136	136	-1444	2167	0	
137	137	-2831	6689	0	
138	138	-2831	6689	0	
139	139	-2831	6689	0	
140	140	-2831	6689	0	
141	141	-2831	6689	0	
142	142	-2831	6689	0	
143	143	-2831	6689	0	
144	144	-2831	6689	0	
145	145	-3556	3469	0	
146	146	-3556	3469	0	
147	147	-3556	3469	0	
148	148	-3556	3469	0	
149	149	-3556	3469	0	
150	150	-3556	3469	0	
151	151	-3556	3469	0	
152	152	-3556	3469	0	
153	153	387	5781	0	
154	154	387	5781	0	
155	155	387	5781	0	
156	156	387	5781	0	
157	157	387	5781	0	
158	158	387	5781	0	
159	159	387	5781	0	
160	160	387	5781	0	
161	161	-6734	4166	0	
162	162	-6734	4166	0	
163	163	-6734	4166	0	
164	164	-6734	4166	0	
165	165	-6734	4166	0	
166	166	-6734	4166	0	
167	167	-6734	4166	0	
168	168	-6734	4166	0	
169	169	3640	3044	0	
170	170	3640	3044	0	
171	171	3640	3044	0	
172	172	3640	3044	0	
173	173	3640	3044	0	
174	174	3640	3044	0	
175	175	3640	3044	0	
176	176	3640	3044	0	
177	177	-404	5131	0	
178	178	-404	5131	0	
179	179	-404	5131	0	
180	180	-404	5131	0	
181	181	-404	5131	0	
182	182	-404	5131	0	
183	183	-404	5131	0	
184	184	-404	5131	0	
185	185	-80	2337	0	
186	186	-80	2337	0	
187	187	-80	2337	0	
188	188	-80	2337	0	
189	189	-80	2337	0	
190	190	-80	2337	0	
191	191	-80	2337	0	
192	192	-80	2337	0	
193	193	971	6198	0	
194	194	971	6198	0	
195	195	971	6198	0	
196	196	971	6198	0	
197	197	971	6198	0	
198	198	971	6198	0	
199	199	971	6198	0	
200	200	971	6198	0	
201	201	-661	-208	0	
202	202	-661	-208	0	
203	203	-661	-208	0	
204	204	-661	-208	0	
205	205	-661	-208	0	
206	206	-661	-208	0	
207	207	-661	-208	0	
208	208	-661	-208	0	
209	209	-3065	3574	0	
210	210	-3065	3574	0	
211	211	-3065	3574	0	
212	212	-3065	3574	0	
213	213	-3065	3574	0	
214	214	-3065	3574	0	
215	215	-3065	3574	0	
216	216	-3065	3574	0	
217	217	-1057	1389	0	
218	218	-1057	1389	0	
219	219	-1057	1389	0	
220	220	-1057	1389	0	
221	221	-1057	1389	0	
222	222	-1057	1389	0	
223	223	-1057	1389	0	
224	224	-1057	1389	0	
225	225	-4814	1426	0	
226	226	-4814	1426	0	
227	227	-4814	1426	0	
228	228	-4814	1426	0	
229	229	-4814	1426	0	
230	230	-4814	1426	0	
231	231	-4814	1426	0	
232	232	-4814	1426	0	
233	233	-189	-473	0	
234	234	-189	-473	0	
235	235	-189	-473	0	
236	236	-189	-473	0	
237	237	-189	-473	0	
238	238	-189	-473	0	
239	239	-189	-473	0	
240	240	-189	-473	0	
241	241	317	5284	0	
242	242	317	5284	0	
243	243	317	5284	0	
244	244	317	5284	0	
245	245	317	5284	0	
246	246	317	5284	0	
247	247	317	5284	0	
248	248	317	5284	0	
249	249	4263	6186	0	
250	250	4263	6186	0	
251	251	4263	6186	0	
252	252	4263	6186	0	
253	253	4263	6186	0	
254	254	4263	6186	0	
255	255	4263	6186	0	
256	256	4263	6186	0	
257	257	1043	5593	0	
258	258	1043	5593	0	
259	259	1043	5593	0	
260	260	1043	5593	0	
261	261	1043	5593	0	
262	262	1043	5593	0	
263	263	1043	5593	0	
264	264	1043	5593	0	
265	265	1025	2087	0	
266	266	1025	2087	0	
267	267	1025	2087	0	
268	268	1025	2087	0	
269	269	1025	2087	0	
270	270	1025	2087	0	
271	271	1025	2087	0	
272	272	1025	2087	0	
273	273	3884	5251	0	
274	274	3884	5251	0	
275	275	3884	5251	0	
276	276	3884	5251	0	
277	277	3884	5251	0	
278	278	3884	5251	0	
279	279	3884	5251	0	
280	280	3884	5251	0	
281	281	685	8374	0	
282	282	685	8374	0	
283	283	685	8374	0	
284	284	685	8374	0	
285	285	685	8374	0	
286	286	685	8374	0	
287	287	685	8374	0	
288	288	685	8374	0	
289	289	3782	2468	0	
290	290	3782	2468	0	
291	291	3782	2468	0	
292	292	3782	2468	0	
293	293	3782	2468	0	
294	294	3782	2468	0	
295	295	3782	2468	0	
296	296	3782	2468	0	
297	297	-1024	4534	0	
298	298	-1024	4534	0	
299	299	-1024	4534	0	
300	300	-1024	4534	0	
301	301	-1024	4534	0	
302	302	-1024	4534	0	
303	303	-1024	4534	0	
304	304	-1024	4534	0	
305	305	2	6273	0	
306	306	2	6273	0	
307	307	2	6273	0	
308	308	2	6273	0	
309	309	2	6273	0	
310	310	2	6273	0	
311	311	2	6273	0	
312	312	2	6273	0	
313	313	1871	2813	0	
314	314	1871	2813	0	
315	315	1871	2813	0	
316	316	1871	2813	0	
317	317	1871	2813	0	
318	318	1871	2813	0	
319	319	1871	2813	0	
320	320	1871	2813	0	
321	321	723	371	0	
322	322	723	371	0	
323	323	723	371	0	
324	324	723	371	0	
325	325	723	371	0	
326	326	723	371	0	
327	327	723	371	0	
328	328	723	371	0	
329	329	-682	-3062	0	
330	330	-682	-3062	0	
331	331	-682	-3062	0	
332	332	-682	-3062	0	
333	333	-682	-3062	0	
334	334	-682	-3062	0	
335	335	-682	-3062	0	
336	336	-682	-3062	0	
